route_id,route_short_name,route_long_name,route_type,route_color,route_text_color                                                                     ,download_date
10T0001C1  ,C1  ,Principe Pio                            -Aeropuerto-T4                           ,2,75B6E0,FFFFFF                                    ,2026-01-14
10T0002C1  ,C1  ,Aeropuerto-T4                           -Principe Pio                            ,2,75B6E0,FFFFFF                                    ,2026-01-14
10T0003C10 ,C10 ,Villalba                                -Aeropuerto-T4                           ,2,BCCF00,FFFFFF                                    ,2026-01-14
10T0004C10 ,C10 ,Aeropuerto-T4                           -Villalba                                ,2,BCCF00,FFFFFF                                    ,2026-01-14
10T0005C2  ,C2  ,Guadalajara                             -Chamartín - Clara Campoamor             ,2,00943D,FFFFFF                                    ,2026-01-14
10T0006C2  ,C2  ,Chamartín - Clara Campoamor             -Guadalajara                             ,2,00943D,FFFFFF                                    ,2026-01-14
10T0007C3  ,C3  ,Chamartín - Clara Campoamor             -Aranjuez                                ,2,952585,FFFFFF                                    ,2026-01-14
10T0008C3  ,C3  ,Aranjuez                                -Chamartín - Clara Campoamor             ,2,952585,FFFFFF                                    ,2026-01-14
10T0009C8a ,C8a ,Chamartín - Clara Campoamor             -El Escorial                             ,2,868584,FFFFFF                                    ,2026-01-14
10T0010C8a ,C8a ,El Escorial                             -Chamartín - Clara Campoamor             ,2,868584,FFFFFF                                    ,2026-01-14
10T0011C4  ,C4  ,Chamartín - Clara Campoamor             -Parla                                   ,2,2C2A86,FFFFFF                                    ,2026-01-14
10T0012C4  ,C4  ,Parla                                   -Chamartín - Clara Campoamor             ,2,2C2A86,FFFFFF                                    ,2026-01-14
10T0013C4a ,C4a ,Alcobendas-S.Sebast. de los Reyes       -Parla                                   ,2,2C2A86,FFFFFF                                    ,2026-01-14
10T0014C4a ,C4a ,Parla                                   -Alcobendas-S.Sebast. de los Reyes       ,2,2C2A86,FFFFFF                                    ,2026-01-14
10T0015C4b ,C4b ,Colmenar Viejo                          -Parla                                   ,2,2C2A86,FFFFFF                                    ,2026-01-14
10T0016C4b ,C4b ,Parla                                   -Colmenar Viejo                          ,2,2C2A86,FFFFFF                                    ,2026-01-14
10T0017C5  ,C5  ,Mostoles el Soto                        -Humanes                                 ,2,FECB00,FFFFFF                                    ,2026-01-14
10T0018C5  ,C5  ,Humanes                                 -Mostoles el Soto                        ,2,FECB00,FFFFFF                                    ,2026-01-14
10T0019C2  ,C2  ,Alcala de Henares                       -Principe Pio                            ,2,00943D,FFFFFF                                    ,2026-01-14
10T0020C2  ,C2  ,Principe Pio                            -Alcala de Henares                       ,2,00943D,FFFFFF                                    ,2026-01-14
10T0021C8b ,C8b ,Atocha                                  -Cercedilla                              ,2,868584,FFFFFF                                    ,2026-01-14
10T0022C8b ,C8b ,Cercedilla                              -Atocha                                  ,2,868584,FFFFFF                                    ,2026-01-14
10T0023C8a ,C8a ,Atocha                                  -El Escorial                             ,2,868584,FFFFFF                                    ,2026-01-14
10T0024C8a ,C8a ,El Escorial                             -Atocha                                  ,2,868584,FFFFFF                                    ,2026-01-14
10T0025C9  ,C9  ,Cercedilla                              -Cotos                                   ,3,F3972A,FFFFFF                                    ,2026-01-14
10T0026C9  ,C9  ,Cotos                                   -Cercedilla                              ,3,F3972A,FFFFFF                                    ,2026-01-14
10T0027C8a ,C8a ,Atocha                                  -El Escorial                             ,2,868584,FFFFFF                                    ,2026-01-14
10T0028C8a ,C8a ,El Escorial                             -Atocha                                  ,2,868584,FFFFFF                                    ,2026-01-14
10T0029C3  ,C3  ,Aranjuez                                -                                        ,2,952585,FFFFFF                                    ,2026-01-14
10T0030C3  ,C3  ,                                        -Aranjuez                                ,2,952585,FFFFFF                                    ,2026-01-14
